[Thu Jun 19 18:09:48.047046 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.in:443:0 server certificate does NOT include an ID which matches the server name
[Thu Jun 19 18:09:48.048694 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.co.uk:443:0 server certificate does NOT include an ID which matches the server name
[Thu Jun 19 18:09:52.382375 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.in:443:0 server certificate does NOT include an ID which matches the server name
[Thu Jun 19 18:09:52.384190 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.co.uk:443:0 server certificate does NOT include an ID which matches the server name
[Thu Jun 19 18:09:54.766203 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.in:443:0 server certificate does NOT include an ID which matches the server name
[Thu Jun 19 18:09:54.767844 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.co.uk:443:0 server certificate does NOT include an ID which matches the server name
[Thu Jun 19 18:09:59.132792 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.in:443:0 server certificate does NOT include an ID which matches the server name
[Thu Jun 19 18:09:59.134472 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.co.uk:443:0 server certificate does NOT include an ID which matches the server name
[Thu Jun 19 21:01:23.798451 2025] [access_compat:error] [pid 3949560] [client 172.71.241.116:37488] AH01797: client denied by server configuration: /var/www/demositegarage/public/config.ini
[Fri Jun 20 00:00:00.331420 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.in:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 20 00:00:00.333265 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.co.uk:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 20 06:07:08.563905 2025] [access_compat:error] [pid 3961778] [client 162.158.216.40:47590] AH01797: client denied by server configuration: /var/www/demositegarage/public/ads.txt
[Fri Jun 20 07:26:01.601049 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.in:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 20 07:26:01.602876 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.co.uk:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 20 07:26:05.982864 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.in:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 20 07:26:05.984698 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.co.uk:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 20 07:26:08.423133 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.in:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 20 07:26:08.424761 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.co.uk:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 20 07:26:12.826187 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.in:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 20 07:26:12.827892 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.co.uk:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 20 08:47:06.792285 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.in:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 20 08:47:06.793959 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.co.uk:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 20 08:47:06.880022 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.in:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 20 08:47:06.881720 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.co.uk:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 20 12:51:54.358898 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.in:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 20 12:51:54.360531 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.co.uk:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 20 12:51:58.704171 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.in:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 20 12:51:58.706243 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.co.uk:443:0 server certificate does NOT include an ID which matches the server name
